	Oahu	FrenchFrigateShoals	MaroReef	Pearl_Hermes	Kure	PioneerBanks	Maui	Molokai	BigIsland	Kauai
Oahu		0.0327269	0.0404103	0.0425834	0.0289603	0.0272281	0.0280088	0.0328516	0.0219075	0.0232529
FrenchFrigateShoals			0.0458454	0.0510869	0.0375819	0.0394533	0.0308328	0.0282923	0.0226729	0.0303014
MaroReef				0.068774	0.0421443	0.0669902	0.0383474	0.0403196	0.0206399	0.0291001
Pearl_Hermes					0.0467344	0.070919	0.0445557	0.0514077	0.0312313	0.0330984
Kure						0.0323897	0.0316612	0.0394781	0.024287	0.0235683
PioneerBanks							0.0332778	0.0371574	0.0184619	0.0207442
Maui								0.0324287	0.0203449	0.0231899
Molokai									0.0221865	0.0314597
BigIsland										0.0186254
