,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
1,1,0.574850789698127,0.51598846891979,0.548642878253115,0.561952582682668,0.569360376649572,0.557040867830594,0.538530048772387,0.539165873276881,0.563419634179104
2,0,0.425149210301873,0.396585315074965,0.344928617218381,0.3228930432874,0.308631184993861,0.329166537351426,0.345430475568208,0.32628791560891,0.305379776900307
3,0,0,0.0874262160052451,0.0934920771516606,0.0930624590193205,0.098428804323689,0.0908276322282786,0.105487332942264,0.105602092991145,0.0867835167958878
4,0,0,0,0.0129364273768438,0.020173876681598,0.0167981494174153,0.0170401229371978,0.00260516613130572,0.00225773907524849,0.00316299193460882
5,0,0,0,0,0.00191803832901325,0.00386761165357108,0.0026017011962612,0.00216791966510891,0.00206101351928026,0.00453304011096383
6,0,0,0,0,0,0.00291387296189171,0.00222581074286459,0.00183389295802969,0.00319866249530586,0.0032942098241748
7,0,0,0,0,0,0,0.00109732771337749,0.00163310235241626,0.00174616358253524,0.00181647975296418
8,0,0,0,0,0,0,0,0.00231206161027969,0.00366960654615046,0.00585758175039816
9,0,0,0,0,0,0,0,0,0.0160109329045437,0.0195025030497192
10,0,0,0,0,0,0,0,0,0,0.00625026570187222
